Categoria = 7, Prefix = 111101001011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101001100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101001101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101001110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101001111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101010111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101011111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101100111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101101111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101110111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111000, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111001, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111010, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111011, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111100, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111101, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111110, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 7, Prefix = 111101111111, Comprimento total = 12, Comprimento da mantissa = 7
Categoria = 8, Prefix = 11111010000000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010000111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010001111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010010111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010011111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010100111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010101111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010110111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111010111111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000000, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000001, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000010, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000011, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000100, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000101, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000110, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011000111, Comprimento total = 14, Comprimento da mantissa = 8
Categoria = 8, Prefix = 11111011001000, Comprimento total = 14, Comprimento da mantissa = 8
